catagery_name,subcatagery_link,subcatagery_name,subcatofcat_link,subcatofcat_name
Outdoor,https://burrow.com/outdoor/collections#rugs,Outdoor Rugs,https://burrow.com/outdoor/seating/4-piece-sectional-right-cover?sku=AOSTCV-SL-RY-CUR-KVR-S4-R,Seating Covers
Seating,https://burrow.com/living-room/seating/sectionals,Sectional Sofas,https://burrow.com/field-leather/5-piece-sectional-lounger?sku=FLRST-SF-FDL-S4-A2-C1-TN-DW&ottoman-add-on=FLRST-OT-FDL-S0-A0-C1,Modular Sectionals
Seating,https://burrow.com/living-room/seating/sectionals,Sectional Sofas,https://burrow.com/nomad-leather/king-sofa-chaise?sku=NLSC-CN-4-MD-LW,Modular Sectionals
Seating,https://burrow.com/living-room/seating,All Seating,https://burrow.com/nomad-leather/loveseat-chaise-ottoman?sku=NLSCO-CN-2-HI-DW,Loveseats
Seating,https://burrow.com/living-room/seating,All Seating,https://burrow.com/nomad-fabric/5-seat-corner-sectional?sku=NSL-CG-5-LO-DW,Corner Sectionals
Outdoor,https://burrow.com/outdoor/collections#rugs,Outdoor Rugs,https://burrow.com/outdoor/seating/4-piece-sectional-left-cover?sku=AOSTCV-SL-RY-CUR-KVR-S4-L,Seating Covers
Outdoor,https://burrow.com/outdoor/collections#rugs,Outdoor Rugs,https://burrow.com/outdoor/seating/5-piece-sectional-cover?sku=AOSTCV-SL-RY-CUR-KVR-S5,Seating Covers
Seating,https://burrow.com/living-room/seating/sectionals,Sectional Sofas,https://burrow.com/nomad-leather/double-chaise-u-sectional?sku=NLSCC-CN-4-MD-LW,Modular Sectionals
Seating,https://burrow.com/living-room/seating,All Seating,https://burrow.com/field-fabric/5-piece-sectional?sku=FLRST-SL-FD-S5-A2-C0-FG-DW,Corner Sectionals
Seating,https://burrow.com/living-room/seating,All Seating,https://burrow.com/union-fabric/5-seat-sectional?sku=FLRST-SL-UN-S5-A2-C0-CGF-DW,Corner Sectionals
Outdoor,https://burrow.com/outdoor/collections#rugs,Outdoor Rugs,https://burrow.com/outdoor/seating/6-piece-sectional-right-cover?sku=AOSTCV-SL-RY-CUR-KVR-S6-R,Seating Covers
Outdoor,https://burrow.com/outdoor/collections#rugs,Outdoor Rugs,https://burrow.com/outdoor/seating/6-piece-sectional-left-cover?sku=AOSTCV-SL-RY-CUR-KVR-S6-L,Seating Covers
Seating,https://burrow.com/living-room/seating/sectionals,Sectional Sofas,https://burrow.com/nomad-leather/king-sofa-chaise-ottoman?sku=NLSCO-CN-4-MD-LW,Modular Sectionals
Seating,https://burrow.com/living-room/seating/sectionals,Sectional Sofas,https://burrow.com/nomad-velvet/king-sofa-chaise?sku=NVSC-GG-4-MD-DW,Modular Sectionals
Seating,https://burrow.com/living-room/seating,All Seating,https://burrow.com/mambo/5-piece-sectional?sku=FLRST-SL-MB-S5-LA2-C0-CGF-DW,Corner Sectionals
Outdoor,https://burrow.com/outdoor/collections#rugs,Outdoor Rugs,https://burrow.com/outdoor/seating/6-piece-u-sectional-cover?sku=AOSTCV-SU-RY-CUR-KVR-S6,Seating Covers
Seating,https://burrow.com/living-room/seating/sectionals,Sectional Sofas,https://burrow.com/nomad-velvet/double-chaise-u-sectional?sku=NVSCC-GG-4-MD-DW,Modular Sectionals
Seating,https://burrow.com/living-room/seating,All Seating,https://burrow.com/nomad-fabric/6-seat-corner-sectional?sku=NSL-MG-6-MD-DW,Corner Sectionals
Outdoor,https://burrow.com/outdoor/collections#rugs,Outdoor Rugs,https://burrow.com/outdoor/seating/8-piece-u-sectional-cover?sku=AOSTCV-SU-RY-CUR-KVR-S8,Seating Covers
Seating,https://burrow.com/living-room/seating/sectionals,Sectional Sofas,https://burrow.com/nomad-velvet/king-sofa-chaise-ottoman?sku=NVSCO-GG-4-MD-DW,Modular Sectionals
Seating,https://burrow.com/living-room/seating/sectionals,Sectional Sofas,https://burrow.com/nomad-fabric/loveseat-chaise?sku=NSC-CG-2-LO-DW,Modular Sectionals
Seating,https://burrow.com/living-room/seating,All Seating,https://burrow.com/union-fabric/6-seat-sectional?sku=FLRST-SL-UN-S6-A2-C0-IVF-DW,Corner Sectionals
